0;0;0;0;x;x;
1;73;76;233;b_alabaster_palace;x;
2;110;45;5;b_whitesong_sepulchre;x;
3;137;72;32;b_absolution_towers;x;
4;76;119;4;b_upper_silvercrest;x;
5;76;119;232;b_starwatch;x;
6;103;119;4;b_lower_silvercrest;x;
7;103;146;4;b_lower_cahillion;x;
8;153;148;121;b_hall_broken_swords;x;
9;180;148;148;b_outer_cahillion;x;
10;130;146;31;b_streamjoin;x;
11;164;99;59;b_halfmason;x;
12;191;126;59;b_hoggback_hill;x;
13;130;173;58;b_cahills_crossing;x;
14;207;202;175;b_crossington;x;
15;218;153;86;b_dreadcliff_hold;x;
16;100;130;32;b_blackslope;x;
17;127;157;32;b_widepass;x;
18;22;166;21;b_westmount;x;
19;250;139;222;b_calcmine;x;
20;199;221;0;b_lower_widepass;x;
21;234;202;202;b_longriver;x;
22;243;35;166;b_dragonstream_pool;x;
23;103;193;166;b_silverswift;x;
24;6;229;229;b_rollingvale;x;
25;166;174;234;b_quiet_crossing;x;
26;15;62;193;b_foxfield;x;
27;103;66;163;lake_chalsnir;x;
28;120;218;216;b_silvercliff;x;
29;42;89;193;b_morinfield;x;
30;33;28;28;b_silver_harbour;x;
31;238;254;139;b_palsitfel;x;
32;193;174;6;b_chalsfel;x;
33;37;53;193;silver_bay;x;
34;184;200;85;b_dragonstream;x;
35;245;180;113;b_deertarn;x;
36;154;184;86;b_dragonslope;x;
37;211;254;112;b_eveningmoss;x;
38;17;180;140;b_dragongrave_castle;x;
39;76;220;75;b_grast;x;
40;238;26;166;b_silvershore;x;
41;44;234;194;b_squidis;x;
42;44;207;167;b_hanis;x;
43;208;238;140;b_dragonwood;x;
44;235;238;140;lake_arcan;x;
45;130;19;102;b_arcan;x;
46;79;74;108;b_faircity;x;
47;168;238;26;b_heirchapel;x;
48;122;193;250;b_princepoint;x;
49;57;97;21;b_whitehall;x;
50;84;124;21;b_whiteshore;x;
51;227;55;181;b_irragan_beach;x;
52;227;28;181;b_mirstone;x;
53;57;97;249;b_whitechapel;x;
54;222;35;172;b_amberview;x;
55;26;82;235;heartshore_coast;x;
56;170;44;233;heartshore_coast2;x;
57;141;211;254;b_princewood;x;
58;52;47;81;b_oldtree;x;
59;141;211;227;b_fallenlog;x;
60;141;184;227;b_treeton;x;
61;68;166;196;b_lonfirst;x;
62;49;193;21;b_mount_galros;x;
63;76;193;48;b_eastface;x;
64;253;20;27;b_waystall;x;
65;226;248;27;b_widegrass;x;
66;87;157;200;b_longfield;x;
67;41;112;169;b_grairwick;x;
68;25;20;54;b_treesedge;x;
69;60;130;173;b_mountainsfoot;x;
70;119;202;73;b_mountaingrass;x;
71;114;209;64;b_bearmine;x;
72;141;236;91;b_lutied;x;
73;231;16;195;b_frelran;x;
74;146;202;100;b_tonrirv;x;
75;146;229;100;b_gelrirv;x;
76;173;1;127;b_esrirv;x;
77;30;43;222;b_sanrirv;x;
78;168;8;145;b_sormire;x;
79;3;43;195;b_longbarrow;x;
80;195;89;188;b_rivermouth;x;
81;195;35;145;b_widewend;x;
82;211;98;183;b_rivercut;x;
83;211;98;156;b_velisa;x;
84;184;71;156;b_corotas;x;
